Disease_ID,Gene_ID
C0003873,10125
C0003873,4319
C0003873,4321
C0023893,2690
C0024667,2180
C0024667,5618
C0024667,7170
C0024668,2180
C0024668,5618
C0024668,7170
C0024668,8648
C0033578,1789
C0033578,26227
C0033578,2690
C0033578,2886
C0033578,8648
C0004352,2690
C0004352,5618
C0001418,2886
C0001418,7170
C2239176,898
C0151744,2690
C0031117,10125
C0031117,2690
C0376634,1789
C0242656,898
C0000786,4321
C0000786,5618
C0027627,4319
C0027627,8648
C0009375,4321
C0009375,7170
C0024121,2886
C0024121,4319
C1458155,1789
C1458155,26227
C1458155,2886
C1458155,8648
C1458155,898
C0025202,26227
C0004096,4319
C0002395,4321
C0005695,898
C0023467,10125
C0007134,2886
C0007131,26227
C0011860,10125
C0011853,2180
C0028754,2180
C0017661,2180
C0017661,4321
C0038356,1789
C0038356,4319
C0038356,7170
C0021390,1789
C0919267,898
C0014175,10125
C0014175,5618
C0014175,8648
C0007621,26227
